name,recclass,mass (g),year,reclat,reclong
Girgenti,L6,18000,01/01/1853 12:00:00 AM,37.316670,13.566670
Git-Git,L6,480,01/01/1947 12:00:00 AM,9.600000,9.916670
Glanerbrug,L/LL5,670,01/01/1990 12:00:00 AM,52.200000,6.866670
Glanggang,H5-6,1303,01/01/1939 12:00:00 AM,-7.250000,107.700000
Glasatovo,H4,152000,01/01/1918 12:00:00 AM,57.350000,37.616670
Glatton,L6,767,01/01/1991 12:00:00 AM,52.459720,-0.300000
Gnadenfrei,H5,1750,01/01/1879 12:00:00 AM,50.666670,16.766670
Gopalpur,H6,1600,01/01/1865 12:00:00 AM,24.233330,89.050000
Gorlovka,H3.7,3618,01/01/1974 12:00:00 AM,48.283330,38.083330
Granes,L6,9000,01/01/1964 12:00:00 AM,42.900000,2.250000
Grefsheim,L5,45.5,01/01/1976 12:00:00 AM,60.666670,11.000000
Grimsby,H5,215,01/01/2009 12:00:00 AM,43.200000,-79.616670
Grosnaja,CV3,3500,01/01/1861 12:00:00 AM,43.666670,45.383330
Gross-Divina,H5,10500,01/01/1837 12:00:00 AM,49.266670,18.716670
Grossliebenthal,L6,8000,01/01/1881 12:00:00 AM,46.350000,30.583330
Grüneberg,H4,1000,01/01/1841 12:00:00 AM,51.933330,15.500000
Grzempach,H5,690,01/01/1910 12:00:00 AM,52.866670,16.633330
Gualeguaychú,H6,22000,01/01/1932 12:00:00 AM,-33.000000,-58.616670
Guangmingshan,H5,2910,01/01/1996 12:00:00 AM,39.804170,122.763890
Guangnan,L6,,01/01/1983 12:00:00 AM,24.100000,105.000000
Guangrao,L6,1900,01/01/1980 12:00:00 AM,37.100000,118.400000
Guareña,H6,39000,01/01/1892 12:00:00 AM,38.733330,-6.016670
Guêa,Stone-uncl,1915,01/01/1891 12:00:00 AM,43.766670,20.233330
